Date,Time,Object ID,Logical ID,Category,Event,Behavior,Confidence,Centroid X,Centroid Y,Snapshot
2026-09-11,01:54:56,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.3304,368,303,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0314.jpg
2026-09-11,01:54:57,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9373,308,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0315.jpg
2026-09-11,01:54:58,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.3511,369,300,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0316.jpg
2026-09-11,01:54:58,93,1,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,214,239,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0026.jpg
2026-09-11,01:54:58,99,6,person,SUSPICIOUS_ACTIVITY,RAPID MOVEMENT,0.4167,368,297,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0027.jpg
2026-09-11,01:54:58,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9375,308,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0317.jpg
2026-09-11,01:54:59,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2956,368,297,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0318.jpg
2026-09-11,01:54:59,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9343,308,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0319.jpg
2026-09-11,01:55:00,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.3195,368,293,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0320.jpg
2026-09-11,01:55:01,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9261,308,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0321.jpg
2026-09-11,01:55:01,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.3039,368,289,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0322.jpg
2026-09-11,01:55:02,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9334,308,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0323.jpg
2026-09-11,01:55:02,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2543,367,285,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0324.jpg
2026-09-11,01:55:03,67,4,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,168,228,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0028.jpg
2026-09-11,01:55:03,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9245,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0325.jpg
2026-09-11,01:55:03,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2503,368,282,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0326.jpg
2026-09-11,01:55:04,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9264,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0327.jpg
2026-09-11,01:55:04,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2572,368,280,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0328.jpg
2026-09-11,01:55:05,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9186,309,224,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0329.jpg
2026-09-11,01:55:06,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2547,369,279,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0330.jpg
